Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,pop_2020
3.022065271,0.193348343,Chekwi,UG308901,,,,Nakapiripirit,UG3089,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,141813.4375
3.969325719,0.335453177,Chua,UG307701,,,,Kitgum,UG3077,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,194426.8281
4.36456197,0.386419981,Dodoth,UG307501,,,,Kaabong,UG3075,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,117091.6641
2.338016148,0.207524163,Dodoth,UG307601,,,,Karenga,UG3076,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,49682.58594
1.615376015,0.088307419,Dokolo,UG307301,,,,Dokolo,UG3073,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,233700.75
2.711109817,0.253353215,East Moyo,UG306501,,,,Adjumani,UG3065,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,267368.6563
0.643987459,0.019820258,Entebbe Municipality,UG102602,,,,Wakiso,UG1026,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,112530.5391
2.844763365,0.104668568,Erute,UG308301,,,,Lira,UG3083,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,394155
0.36615778,0.003239025,Fort Portal Municipality,UG411002,,,,Kabarole,UG4110,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,69077.79688
2.315221467,0.135719276,Gomba,UG100501,,,,Gomba,UG1005,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,190106.2344
0.342688088,0.004428237,Gulu Municipality,UG307402,,,,Gulu,UG3074,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,198220.0781
0.705353771,0.018535059,Hoima Municipality,UG410602,,,,Hoima,UG4106,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,141094.9688
0.946816047,0.017397862,Ibanda,UG410701,,,,Ibanda,UG4107,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,53151.92969
0.431411591,0.007797386,Ibanda,UG410701,,,,Ibanda,UG4107,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,35413.25781
1.126696283,0.024992138,Ibanda,UG410701,,,,Ibanda,UG4107,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,90707.30469
0.916275687,0.028260011,Ibanda Municipality,UG410702,,,,Ibanda,UG4107,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,122289.5469
0.107216878,0.000622424,Iganga Municipality,UG203901,,,,Iganga,UG2039,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,68939.25
2.320201303,0.066209479,Igara,UG410502,,,,Bushenyi,UG4105,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,225282.6094
0.646461419,0.01520641,Iki-Iki,UG202802,,,,Budaka,UG2028,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,135144.625
1.874192778,0.100649732,Isingiro,UG410802,,,,Isingiro,UG4108,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,367439.9063
4.151527102,0.272801496,Jie,UG308001,,,,Kotido,UG3080,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,168541.8594
0.334964588,0.005162521,Jinja Municipality,UG204002,,,,Jinja,UG2040,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,87356.67188
1.728713379,0.084449984,Jonam,UG309801,,,,Pakwach,UG3098,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,194907.2188
0.273708271,0.002563184,Kabale Municipality,UG410901,,,,Kabale,UG4109,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,57288.60938
1.337447834,0.072129652,Kaberamaido,UG204101,,,,Kaberamaido,UG2041,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,143190.4844
1.330344315,0.070352932,Kabula,UG101601,,,,Lyantonde,UG1016,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,122228.8828
0.880202304,0.032453409,Kagoma,UG204003,,,,Jinja,UG2040,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,246384.3594
0.746209077,0.025516347,Kajara,UG412901,,,,Ntungamo,UG4129,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,135462.5156
1.289265921,0.059913878,Kalaki,UG204201,,,,Kalaki,UG2042,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,152486.6875
1.263335095,0.068013888,Kalungu,UG100701,,,,Kalungu,UG1007,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,213177.4531
0.497484127,0.007725265,Kamuli Municipality,UG204403,,,,Kamuli,UG2044,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,76921.17969
0.901750292,0.012095265,Kapchorwa Municipality,UG204501,,,,Kapchorwa,UG2045,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,55785.65234
2.337563938,0.097690192,Kapelebyong,UG204601,,,,Kapelebyong,UG2046,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,116232.8828
1.758094752,0.088866811,Kasambya,UG102002,,,,Mubende,UG1020,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,223448.6875
1.141879366,0.012641147,Kasese Municipality,UG411503,,,,Kasese,UG4115,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,126871.4766
2.049142069,0.097118699,Kashari,UG412601,,,,Mbarara,UG4126,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,289222.6875
1.401153842,0.092644317,Kasilo,UG206001,,,,Serere,UG2060,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,173541.1094
1.907793578,0.155880691,Kassanda,UG100901,,,,Kassanda,UG1009,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,379488.5313
2.282765401,0.138517249,Katakwi,UG204701,,,,Katakwi,UG2047,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,133646.4219
2.133932754,0.084308698,Katikamu,UG101402,,,,Luwero,UG1014,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,349291.625
1.95775919,0.126431572,Kazo,UG411601,,,,Kazo,UG4116,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,232389.5313
0.201395656,0.001491117,KCCA,UG100102,,,,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,48218.20703
0.636963569,0.015865428,KCCA,UG100801,,,,Kampala,UG1008,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,1850242.75
0.446203043,0.006747814,KCCA,UG101802,,,,Mityana,UG1018,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,29035.91406
0.333791511,0.002982734,KCCA,UG102101,,,,Mukono,UG1021,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,90437.91406
2.4618206,0.137525351,Kibale,UG411301,,,,Kamwenge,UG4113,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,375049
2.647974331,0.29540766,Kibanda,UG412001,,,,Kiryandongo,UG4120,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,348207.25
1.97151955,0.127881676,Kiboga,UG101101,,,,Kiboga,UG1011,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,187645.4063
2.277781851,0.200216361,Kiboga,UG101201,,,,Kyankwanzi,UG1012,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,309720.5313
1.026342583,0.03974306,Kibuku,UG204801,,,,Kibuku,UG2048,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,274554.7188
1.254846444,0.051259596,Kigulu,UG203902,,,,Iganga,UG2039,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,366563.4688
4.619184698,0.292045432,Kilak,UG307001,,,,Amuru,UG3070,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,241775.4531
2.774999659,0.107679265,Kinkizi,UG411401,,,,Kanungu,UG4114,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,302091.9375
1.88979405,0.145958766,Kioga,UG306801,,,,Amolatar,UG3068,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,197667.4375
0.584377583,0.00784111,Kira Municipality,UG102603,,,,Wakiso,UG1026,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,504465.9063
0.147248069,0.000835629,Kisoro Municipality,UG412102,,,,Kisoro,UG4121,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,19595.39648
1.413403014,0.05813473,Kitagwenda,UG412201,,,,Kitagwenda,UG4122,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,197909.7969
0.224436647,0.002411453,Kitgum Municipality,UG307702,,,,Kitgum,UG3077,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,53255.08594
1.55632927,0.060275022,Koboko,UG307801,,,,Koboko,UG3078,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,221306.5625
0.244876944,0.001843973,Koboko Municipality,UG307802,,,,Koboko,UG3078,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,64172.84375
1.820959074,0.08711746,Kole,UG307901,,,,Kole,UG3079,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,317867.7813
