OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020
"137",Amhara,North Shewa(R3),Angolelana Tera,"03","0305","030513",ET03,Angolelana Tera,ET030513,ET0305,,118624.8984375
"138",Amhara,Awi/Agew,Ankasha,"03","0309","030903",ET03,Ankasha,ET030903,ET0309,,287142.84375
"139",Amhara,North Shewa(R3),Ankober,"03","0305","030515",ET03,Ankober,ET030515,ET0305,Ankober,110345.4140625
"140",Amhara,North Shewa(R3),Antsokiya,"03","0305","030507",ET03,Antsokiya,ET030507,ET0305,Anstokia Gemza,113439.109375
"141",Amhara,Special Woreda,Argoba,"03","0312","031201",ET03,Argoba,ET031201,ET0312,Argoba,49398.34765625
"142",Amhara,North Shewa(R3),Assagirt,"03","0305","030514",ET03,Assagirt,ET030514,ET0305,,68769.2578125
"143",Amhara,East Gojam,Awabel,"03","0306","030612",ET03,Awabel,ET030612,ET0306,,175236.28125
"144",Amhara,West Gojam,Bahirdar Zuria,"03","0307","030702",ET03,Bahirdar Zuria,ET030702,ET0307,,254228.671875
"145",Amhara,Awi/Agew,Banja,"03","0309","030902",ET03,Banja,ET030902,ET0309,,160157.265625
"146",Amhara,East Gojam,Baso Liben,"03","0306","030611",ET03,Baso Liben,ET030611,ET0306,,199108.34375
"147",Amhara,Oromia,Bati,"03","0310","031002",ET03,Bati,ET031002,ET0310,Bati,153937.34375
"148",Amhara,North Shewa(R3),Berehet,"03","0305","030517",ET03,Berehet,ET030517,ET0305,,50192.75390625
"149",Amhara,North Gonder,Beyeda,"03","0301","030102",ET03,Beyeda,ET030102,ET0301,Beyeda,139804.796875
"150",Amhara,East Gojam,Bibugn,"03","0306","030601",ET03,Bibugn,ET030601,ET0306,Bibugn,117417.421875
"151",Amhara,North Wollo,Bugna,"03","0303","030301",ET03,Bugna,ET030301,ET0303,Bugna,108473.328125
"152",Amhara,West Gojam,Bure,"03","0307","030710",ET03,Bure,ET030710,ET0307,,205339.015625
"153",Amhara,Oromia,Dewa Cheffa,"03","0310","031001",ET03,Dewa Cheffa,ET031001,ET0310,Dewa Harewa,219424.625
"154",Amhara,North Gonder,Chilga,"03","0301","030112",ET03,Chilga,ET030112,ET0301,,318395.3125
"155",Amhara,North Gonder,Dabat,"03","0301","030105",ET03,Dabat,ET030105,ET0301,,209425.96875
"156",Amhara,Awi/Agew,Dangila,"03","0309","030901",ET03,Dangila,ET030901,ET0309,,227840.953125
"157",Amhara,North Wollo,Dawunt,"03","0303","030311",ET03,Dawunt,ET030311,ET0303,,93638.4609375
"158",Amhara,North Gonder,Debark,"03","0301","030104",ET03,Debark,ET030104,ET0301,,228131.796875
"159",Amhara,East Gojam,Debay Telatgen,"03","0306","030607",ET03,Debay Telatgen,ET030607,ET0306,,183249.828125
"160",Amhara,East Gojam,Debre Elias,"03","0306","030608",ET03,Debre Elias,ET030608,ET0306,,118771.890625
"161",Amhara,South Wollo,Debresina,"03","0304","030412",ET03,Debresina,ET030412,ET0304,,227968.578125
"162",Amhara,West Gojam,Dega Damot,"03","0307","030707",ET03,Dega Damot,ET030707,ET0307,,218980.15625
"163",Amhara,Wag Himra,Dehana,"03","0308","030803",ET03,Dehana,ET030803,ET0308,Dehana,157700
