OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020
"475",Oromia,Arsi,Dodota,"04","0408","040805",ET04,Dodota,ET040805,ET0408,,104510.7578125
"476",Oromia,Arsi,Lude Hitosa,"04","0408","040821",ET04,Lude Hitosa,ET040821,ET0408,,174972.203125
"477",Oromia,Arsi,Tena,"04","0408","040813",ET04,Tena,ET040813,ET0408,,107801.640625
"478",Oromia,Arsi,Diksis,"04","0408","040822",ET04,Diksis,ET040822,ET0408,Diksis,117601.7109375
"479",Oromia,Arsi,Inkolo Wabe,"04","0408","040824",ET04,Inkolo Wabe,ET040824,ET0408,,94876.515625
"480",Oromia,Arsi,Guna,"04","0408","040819",ET04,Guna,ET040819,ET0408,,124276.09375
"481",Oromia,Arsi,Bele Gesgar,"04","0408","040823",ET04,Bele Gesgar,ET040823,ET0408,,120456.921875
"482",Oromia,West Arsi,Siraro,"04","0417","041701",ET04,Siraro,ET041701,ET0417,Siraro,237290.140625
"483",Oromia,West Arsi,Kore,"04","0417","041705",ET04,Kore,ET041705,ET0417,,168422.671875
"484",Oromia,West Harerge,Goba Koricha,"04","0409","040907",ET04,Goba Koricha,ET040907,ET0409,,197993.984375
"485",Oromia,West Harerge,Chiro Zuria,"04","0409","040913",ET04,Chiro Zuria,ET040913,ET0409,,330780.6875
"486",Oromia,East Harerge,Midega Tola,"04","0410","041014",ET04,Midega Tola,ET041014,ET0410,,122537.078125
"487",Oromia,East Harerge,Meyu,"04","0410","041018",ET04,Meyu,ET041018,ET0410,,73673.5546875
"488",Oromia,East Harerge,Chinaksen,"04","0410","041015",ET04,Chinaksen,ET041015,ET0410,,143651.546875
"489",Oromia,Bale,Gasera,"04","0411","041106",ET04,Gasera,ET041106,ET0411,,126586.4453125
"490",Oromia,Bale,Dinsho,"04","0411","041122",ET04,Dinsho,ET041122,ET0411,,64334.63671875
"491",Oromia,Bale,Harena Buluk,"04","0411","041111",ET04,Harena Buluk,ET041111,ET0411,,132741.75
"492",Oromia,Bale,Goro,"04","0411","041116",ET04,Goro,ET041116,ET0411,Goro,135162.6875
"493",Oromia,Guji,Afele Kola (Dima),"04","0414","041408",ET04,Afele Kola (Dima),ET041408,ET0414,,93542.4609375
"494",Oromia,Guji,Kercha,"04","0414","041406",ET04,Kercha,ET041406,ET0414,,367435.90625
"495",Oromia,Guji,Girja (Harenfema),"04","0414","041410",ET04,Girja (Harenfema),ET041410,ET0414,,80515.0703125
"496",Oromia,Guji,Wadera,"04","0414","041404",ET04,Wadera,ET041404,ET0414,,82115.3203125
"497",Oromia,Borena,Abaya,"04","0412","041213",ET04,Abaya,ET041213,ET0412,Abaya,181138.15625
"498",Oromia,Borena,Bule Hora,"04","0412","041206",ET04,Bule Hora,ET041206,ET0412,Bule Hora,431348.4375
"499",Oromia,Borena,Yabelo,"04","0412","041207",ET04,Yabelo,ET041207,ET0412,,166509.25
"500",Oromia,South West Shewa,Sodo Daci,"04","0413","041314",ET04,Sodo Daci,ET041314,ET0413,,70375.0546875
"501",Oromia,South West Shewa,Kondaltiti,"04","0413","041313",ET04,Kondaltiti,ET041313,ET0413,,65174.6875
"502",Oromia,Borena,Dugda Dawa,"04","0412","041215",ET04,Dugda Dawa,ET041215,ET0412,Dugda Dawa,108463.4453125
"503",Oromia,Borena,Melka Soda,"04","0412","041218",ET04,Melka Soda,ET041218,ET0412,,135769.4375
"504",Oromia,Borena,Dillo,"04","0412","041219",ET04,Dillo,ET041219,ET0412,,21139.123046875
"505",Oromia,Borena,Dire,"04","0412","041211",ET04,Dire,ET041211,ET0412,,70272.1484375
"506",Oromia,Borena,Miyo,"04","0412","041216",ET04,Miyo,ET041216,ET0412,Miyo,82045.890625
"507",Oromia,Borena,Dehas,"04","0412","041220",ET04,Dehas,ET041220,ET0412,,35420.23046875
"508",Oromia,Borena,Arero,"04","0412","041208",ET04,Arero,ET041208,ET0412,Arero,71439.2734375
"509",Oromia,Kelem Wellega,Gidami,"04","0418","041809",ET04,Gidami,ET041809,ET0418,,140318.8125
"510",Oromia,Kelem Wellega,Anfilo,"04","0418","041807",ET04,Anfilo,ET041807,ET0418,Anfilo,126723.0546875
"511",Oromia,Ilubabor,Bure,"04","0403","040312",ET04,Bure,ET040312,ET0403,,82843.0546875
"512",Oromia,Kelem Wellega,Sayo,"04","0418","041805",ET04,Sayo,ET041805,ET0418,,237688.8125
"513",Oromia,Ilubabor,Sale Nono,"04","0403","040313",ET04,Sale Nono,ET040313,ET0403,,37120.65625
"514",Oromia,West Wellega,Gudetu Kondole,"04","0401","040109",ET04,Gudetu Kondole,ET040109,ET0401,,155746.796875
"515",Oromia,West Wellega,Mana Sibu,"04","0401","040101",ET04,Mana Sibu,ET040101,ET0401,,204558.875
"516",Oromia,West Wellega,Kiltu Kara,"04","0401","040105",ET04,Kiltu Kara,ET040105,ET0401,,83854.3125
"517",Oromia,West Wellega,Nejo,"04","0401","040102",ET04,Nejo,ET040102,ET0401,,212452.65625
"518",Oromia,West Wellega,Boji Dirmeji,"04","0401","040106",ET04,Boji Dirmeji,ET040106,ET0401,,69216.5625
"519",Oromia,West Wellega,Lalo Asabi,"04","0401","040104",ET04,Lalo Asabi,ET040104,ET0401,,122391.5
"520",Oromia,West Wellega,Gimbi,"04","0401","040103",ET04,Gimbi,ET040103,ET0401,,170740.5
"521",Oromia,Ilubabor,Chwaka,"04","0403","040323",ET04,Chwaka,ET040323,ET0403,,91263.6953125
"522",Oromia,Ilubabor,Dabo Hana,"04","0403","040305",ET04,Dabo Hana,ET040305,ET0403,,67823.484375
"523",Oromia,East Wellega,Diga,"04","0402","040210",ET04,Diga,ET040210,ET0402,Diga,108407.3046875
"524",Oromia,East Wellega,Haro Limu,"04","0402","040204",ET04,Haro Limu,ET040204,ET0402,,85291.5078125
"525",Oromia,North Shewa(R4),Abichuna Gne'a,"04","0406","040609",ET04,Abichuna Gne'a,ET040609,ET0406,,121148.2734375
"526",Oromia,North Shewa(R4),Kembibit,"04","0406","040610",ET04,Kembibit,ET040610,ET0406,,120298.71875
"527",Oromia,East Shewa,Gimbichu,"04","0407","040705",ET04,Gimbichu,ET040705,ET0407,,140231.921875
"528",Oromia,West Shewa,Walmara,"04","0405","040512",ET04,Walmara,ET040512,ET0405,,284970.34375
"529",Oromia,East Shewa,Akaki,"04","0407","040712",ET04,Akaki,ET040712,ET0407,,126480.6015625
"530",Oromia,North Shewa(R4),Bereh,"04","0406","040611",ET04,Bereh,ET040611,ET0406,,150830.484375
"531",Oromia,North Shewa(R4),Sululta,"04","0406","040612",ET04,Sululta,ET040612,ET0406,,209401.65625
"532",Oromia,South West Shewa,Alem Gena,"04","0413","041306",ET04,Alem Gena,ET041306,ET0413,,301729.84375
"533",Amhara,North Shewa(R3),Basona Worena,"03","0305","030519",ET03,Basona Worena,ET030519,ET0305,,267316.0625
"534",Amhara,North Shewa(R3),Ensaro,"03","0305","030503",ET03,Ensaro,ET030503,ET0305,,83252.78125
"535",Addis Ababa,Region 14,Akaki - Kalit,"14","1401","140101",ET14,Akaki - Kalit,ET140101,ET1401,,262408.21875
"536",Addis Ababa,Region 14,Kolfe - Keran,"14","1401","140103",ET14,Kolfe - Keran,ET140103,ET1401,,641526.125
"537",Oromia,West Harerge,"Hawi Gudina
","04","0409","040915",ET04,"Hawi Gudina
",ET040915,ET0409,,111351.859375
"538",Oromia,West Harerge,Daro Lebu,"04","0409","040909",ET04,Daro Lebu,ET040909,ET0409,,210840.203125
"539",Somali,Afder,Hargele,"05","0508","0508061",ET05,Hargele,ET0508061,ET0508,,66623.21875
"540",Afar,Zone 2,Bidu,"02","0202","0202071",ET02,Bidu,ET0202071,ET0202,Bidu,16791.51953125
"541",Afar,Zone 1,Kurri,"02","0201","0201011",ET02,Kurri,ET0201011,ET0201,Korri,45313.9296875
"542",Afar,Zone 1,Adaa'r,"02","0201","0201051",ET02,Adaa'r,ET0201051,ET0201,Addar,47761.984375
"543",SNNPR,Sheka,Yeki,"07","0708","070803",ET07,Yeki,ET070803,ET0708,,215923.703125
"544",SNNPR,Keffa,Menjiwo,"07","0709","070905",ET07,Menjiwo,ET070905,ET0709,,172001.25
"545",SNNPR,KT,Kacha Bira,"07","0703","070304",ET07,Kacha Bira,ET070304,ET0703,,183644.328125
"546",SNNPR,KT,Tembaro,"07","0703","070301",ET07,Tembaro,ET070301,ET0703,,172328.984375
"547",SNNPR,Keffa,Decha,"07","0709","070908",ET07,Decha,ET070908,ET0709,,207286.859375
"548",SNNPR,Bench Maji,Menit Shasha,"07","0711","071106",ET07,Menit Shasha,ET071106,ET0711,,69428.9609375
"549",SNNPR,Konta,Ela (Konta) SP Woreda,"07","0719","071901",ET07,Ela (Konta) SP Woreda,ET071901,ET0719,,146756.90625
"550",SNNPR,Keffa,Cheta,"07","0709","070907",ET07,Cheta,ET070907,ET0709,,53350.734375
"551",SNNPR,Dawro,Loma Bosa,"07","0717","071703",ET07,Loma Bosa,ET071703,ET0717,,176965.171875
"552",SNNPR,Gamo Gofa,Boreda,"07","0710","071004",ET07,Boreda,ET071004,ET0710,,108635.8359375
"553",SNNPR,Gurage,Sodo,"07","0701","070105",ET07,Sodo,ET070105,ET0701,Sodo,214915.203125
"554",SNNPR,Gurage,Abeshege,"07","0701","070102",ET07,Abeshege,ET070102,ET0701,,98810.484375
"555",SNNPR,Gurage,Kokir Gedbano,"07","0701","070104",ET07,Kokir Gedbano,ET070104,ET0701,,150690.078125
"556",SNNPR,Gurage,Meskan,"07","0701","070106",ET07,Meskan,ET070106,ET0701,Meskan,305571.5625
"557",SNNPR,Gurage,Cheha,"07","0701","070110",ET07,Cheha,ET070110,ET0701,,186240.671875
"558",SNNPR,South Omo,South Ari (Bako Gazer),"07","0707","070702",ET07,South Ari (Bako Gazer),ET070702,ET0707,,339027
"559",SNNPR,Gurage,Enemorina Eaner,"07","0701","070111",ET07,Enemorina Eaner,ET070111,ET0701,,269221.5625
"560",SNNPR,Selti,Alicho Woriro,"07","0720","072001",ET07,Alicho Woriro,ET072001,ET0720,,148010.15625
"561",SNNPR,Selti,Selti,"07","0720","072002",ET07,Selti,ET072002,ET0720,,284558.3125
"562",SNNPR,Yem,Yem SP Woreda,"07","0712","071201",ET07,Yem SP Woreda,ET071201,ET0712,,129286.1796875
"563",SNNPR,Hadiya,Gibe,"07","0702","070202",ET07,Gibe,ET070202,ET0702,,175735.8125
"564",SNNPR,Selti,Lanfero,"07","0720","072003",ET07,Lanfero,ET072003,ET0720,,187130.953125
"565",SNNPR,Keffa,Gesha (Deka),"07","0709","070902",ET07,Gesha (Deka),ET070902,ET0709,,136675.03125
"566",SNNPR,Selti,Wilbareg,"07","0720","072008",ET07,Wilbareg,ET072008,ET0720,,128516.8125
"567",SNNPR,Hadiya,Soro,"07","0702","070206",ET07,Soro,ET070206,ET0702,,301898.25
"568",SNNPR,Sheka,Masha,"07","0708","070801",ET07,Masha,ET070801,ET0708,,65770
"569",SNNPR,Keffa,Gimbo,"07","0709","070904",ET07,Gimbo,ET070904,ET0709,,177938.921875
"570",SNNPR,Alaba,Alaba SP Woreda,"07","0721","072101",ET07,Alaba SP Woreda,ET072101,ET0721,,372640.71875
"571",SNNPR,KT,Anigacha,"07","0703","070302",ET07,Anigacha,ET070302,ET0703,,140553.9375
"572",SNNPR,Keffa,Chena,"07","0709","070909",ET07,Chena,ET070909,ET0709,,253316.609375
"573",SNNPR,Wolayita,Boloso sore,"07","0706","070601",ET07,Boloso sore,ET070601,ET0706,Boloso Sori,314914.84375
"574",SNNPR,Dawro,Mareka,"07","0717","071702",ET07,Mareka,ET071702,ET0717,,201584.609375
"575",SNNPR,Sidama,Wondo-Genet,"07","0704","070420",ET07,Wondo-Genet,ET070420,ET0704,,248757.609375
"576",SNNPR,Wolayita,Damot Gale,"07","0706","070602",ET07,Damot Gale,ET070602,ET0706,,242810.625
"577",SNNPR,Dawro,Esira,"07","0717","071705",ET07,Esira,ET071705,ET0717,,105358.4921875
"578",SNNPR,Wolayita,Sodo Zuria,"07","0706","070605",ET07,Sodo Zuria,ET070605,ET0706,,384234.5625
"579",SNNPR,Sidama,Loka Abaya,"07","0704","070414",ET07,Loka Abaya,ET070414,ET0704,Loka Abaya,161828.640625
"580",SNNPR,Sidama,Arbe Gonna,"07","0704","070403",ET07,Arbe Gonna,ET070403,ET0704,,216680.71875
"581",SNNPR,Wolayita,Ofa,"07","0706","070607",ET07,Ofa,ET070607,ET0706,Offa,168308.4375
"582",SNNPR,Sidama,Hulla,"07","0704","070407",ET07,Hulla,ET070407,ET0704,,208440.671875
"583",SNNPR,Sidama,Chuko,"07","0704","070417",ET07,Chuko,ET070417,ET0704,,271980.90625
"584",SNNPR,Gamo Gofa,Melekoza,"07","0710","071001",ET07,Melekoza,ET071001,ET0710,,191855.8125
"585",SNNPR,Gamo Gofa,Kucha,"07","0710","071003",ET07,Kucha,ET071003,ET0710,Kucha,239194.25
"586",SNNPR,Sidama,Chire,"07","0704","070415",ET07,Chire,ET070415,ET0704,,192476.8125
"587",SNNPR,Gamo Gofa,Denibu Gofa,"07","0710","071002",ET07,Denibu Gofa,ET071002,ET0710,,165982.484375
"588",SNNPR,Sidama,Aroresa,"07","0704","070409",ET07,Aroresa,ET070409,ET0704,Aroresa,274226.75
"589",SNNPR,Sidama,Dara,"07","0704","070406",ET07,Dara,ET070406,ET0704,Dara,268560.53125
"590",SNNPR,Bench Maji,Surma,"07","0711","071109",ET07,Surma,ET071109,ET0711,,39297.296875
"591",SNNPR,South Omo,Selamgo,"07","0707","070701",ET07,Selamgo,ET070701,ET0707,,44801.21484375
"592",SNNPR,Bench Maji,Maji,"07","0711","071107",ET07,Maji,ET071107,ET0711,,50087.890625
"593",SNNPR,Gamo Gofa,Chencha,"07","0710","071007",ET07,Chencha,ET071007,ET0710,Chencha,179240.296875
"594",SNNPR,Gamo Gofa,Dita,"07","0710","071008",ET07,Dita,ET071008,ET0710,Dita,134412.34375
"595",SNNPR,Basketo,Basketo SP Woreda,"07","0718","071801",ET07,Basketo SP Woreda,ET071801,ET0718,,91747.1171875
"596",SNNPR,Gamo Gofa,Daramalo,"07","0710","071009",ET07,Daramalo,ET071009,ET0710,,129341
"597",SNNPR,Gedio,Bule,"07","0705","070504",ET07,Bule,ET070504,ET0705,,167875.234375
"598",SNNPR,Gedio,Yirgachefe,"07","0705","070502",ET07,Yirgachefe,ET070502,ET0705,,315451.84375
"599",SNNPR,Gamo Gofa,Arba Minch Zuria,"07","0710","071016",ET07,Arba Minch Zuria,ET071016,ET0710,Arba minch,381997.8125
"600",SNNPR,Bench Maji,Shay Bench,"07","0711","071104",ET07,Shay Bench,ET071104,ET0711,,189759
"601",SNNPR,Segen Peoples',Amaro,"07","0713","071302",ET07,Amaro,ET071302,ET0713,Amaro,238863.296875
"602",SNNPR,Segen Peoples',Burji,"07","0713","071303",ET07,Burji,ET071303,ET0713,,90069.15625
"603",SNNPR,Segen Peoples',Konso,"07","0713","071305",ET07,Konso,ET071305,ET0713,Konso,377673.75
"604",SNNPR,South Omo,Gnangatom,"07","0707","070708",ET07,Gnangatom,ET070708,ET0707,Gangatom,28311.623046875
"605",SNNPR,Gamo Gofa,Zala,"07","0710","071010",ET07,Zala,ET071010,ET0710,Zala,118420.625
"606",SNNPR,Gurage,Ezha,"07","0701","070103",ET07,Ezha,ET070103,ET0701,,136854.703125
"607",SNNPR,Wolayita,Damot Sore,"07","0706","070609",ET07,Damot Sore,ET070609,ET0706,,161801.015625
"608",SNNPR,Wolayita,Boloso Bombe,"07","0706","070608",ET07,Boloso Bombe,ET070608,ET0706,Boloso Bombe,142335.671875
"609",SNNPR,Wolayita,Kindo Koysha,"07","0706","070606",ET07,Kindo Koysha,ET070606,ET0706,Kindo Koysha,168670.828125
"610",SNNPR,Wolayita,Kindo Dida,"07","0706","070610",ET07,Kindo Dida,ET070610,ET0706,Kindo Didaye,157215.953125
"611",SNNPR,Wolayita,Damot Pulasa,"07","0706","070611",ET07,Damot Pulasa,ET070611,ET0706,,167934.515625
"612",SNNPR,Sidama,Hawassa Zuria,"07","0704","070402",ET07,Hawassa Zuria,ET070402,ET0704,,198346.078125
"613",SNNPR,Sidama,Hawasa Town,"07","0704","070419",ET07,Hawasa Town,ET070419,ET0704,,414833.28125
"614",SNNPR,Sidama,Malga,"07","0704","070412",ET07,Malga,ET070412,ET0704,,174848.171875
"615",SNNPR,Sidama,Shebe Dino,"07","0704","070401",ET07,Shebe Dino,ET070401,ET0704,Shebedino,371999.0625
"616",SNNPR,Sidama,Gorche,"07","0704","070411",ET07,Gorche,ET070411,ET0704,,169161.546875
"617",SNNPR,Sidama,Dale,"07","0704","070404",ET07,Dale,ET070404,ET0704,Dale,388050.375
"618",SNNPR,Sidama,Wonosho,"07","0704","070413",ET07,Wonosho,ET070413,ET0704,,145275.890625
"619",SNNPR,Wolayita,Humbo,"07","0706","070604",ET07,Humbo,ET070604,ET0706,Humbo,202510.984375
"620",SNNPR,Sidama,Aleta Wendo,"07","0704","070405",ET07,Aleta Wendo,ET070405,ET0704,Aleta Wondo,301321.71875
"621",SNNPR,Sidama,Bona Zuria,"07","0704","070418",ET07,Bona Zuria,ET070418,ET0704,,193123.265625
"622",SNNPR,Sidama,Bursa,"07","0704","070416",ET07,Bursa,ET070416,ET0704,,166148.828125
"623",SNNPR,Sidama,Bensa,"07","0704","070408",ET07,Bensa,ET070408,ET0704,Bensa,402296.59375
"624",SNNPR,Gurage,Mareko,"07","0701","070107",ET07,Mareko,ET070107,ET0701,Mareko,100073.921875
"625",SNNPR,Hadiya,Misha,"07","0702","070201",ET07,Misha,ET070201,ET0702,,204030.15625
"626",SNNPR,Hadiya,Shashogo,"07","0702","070204",ET07,Shashogo,ET070204,ET0702,Shashego,166108.09375
"627",SNNPR,Gamo Gofa,Mirab Abaya,"07","0710","071005",ET07,Mirab Abaya,ET071005,ET0710,M/Abaya,119517.578125
"628",SNNPR,Gamo Gofa,Ubadebretsehay,"07","0710","071011",ET07,Ubadebretsehay,ET071011,ET0710,U/Tsehai,110959.8203125
"629",SNNPR,South Omo,Bena Tsemay,"07","0707","070705",ET07,Bena Tsemay,ET070705,ET0707,,85412.0234375
"630",SNNPR,Gedio,Kochere,"07","0705","070503",ET07,Kochere,ET070503,ET0705,,207001.359375
"631",SNNPR,Gedio,Kochere Gedeb,"07","0705","070506",ET07,Kochere Gedeb,ET070506,ET0705,,227161.9375
"632",SNNPR,Gedio,Wenago,"07","0705","070501",ET07,Wenago,ET070501,ET0705,,187266.625
"633",SNNPR,Gedio,Dila Zuria,"07","0705","070505",ET07,Dila Zuria,ET070505,ET0705,,217670.734375
"634",SNNPR,Sidama,Boricha,"07","0704","070410",ET07,Boricha,ET070410,ET0704,Boricha,404156.625
"635",SNNPR,Wolayita,Diguna Fango,"07","0706","070612",ET07,Diguna Fango,ET070612,ET0706,,153649.875
"636",SNNPR,Wolayita,Damot Weydie,"07","0706","070603",ET07,Damot Weydie,ET070603,ET0706,,147587.359375
"637",SNNPR,Hadiya,Misrak Badawacho,"07","0702","070205",ET07,Misrak Badawacho,ET070205,ET0702,,227264.40625
"638",SNNPR,Hadiya,Mierab Badawacho,"07","0702","070209",ET07,Mierab Badawacho,ET070209,ET0702,,133751.15625
"639",SNNPR,Gurage,Kebena,"07","0701","070101",ET07,Kebena,ET070101,ET0701,,130860.515625
"640",SNNPR,Gurage,Muhur Na Aklil,"07","0701","070112",ET07,Muhur Na Aklil,ET070112,ET0701,,139454.0625
"641",SNNPR,South Omo,Hamer,"07","0707","070704",ET07,Hamer,ET070704,ET0707,Hamar,95862.9609375
"642",SNNPR,South Omo,Dasenech (Kuraz),"07","0707","070706",ET07,Dasenech (Kuraz),ET070706,ET0707,Desenech,84569.390625
"643",SNNPR,Bench Maji,Bero,"07","0711","071108",ET07,Bero,ET071108,ET0711,,19803.837890625
"644",SNNPR,Bench Maji,Gurafereda,"07","0711","071102",ET07,Gurafereda,ET071102,ET0711,,56415.625
"645",SNNPR,Bench Maji,Sheka,"07","0711","071101",ET07,Sheka,ET071101,ET0711,,80316.2265625
"646",SNNPR,Bench Maji,Debub Bench,"07","0711","071103",ET07,Debub Bench,ET071103,ET0711,,218147.625
"647",SNNPR,Bench Maji,Semen Bench,"07","0711","071110",ET07,Semen Bench,ET071110,ET0711,,181691.203125
"648",SNNPR,Bench Maji,Menit Goldiye,"07","0711","071105",ET07,Menit Goldiye,ET071105,ET0711,,142475.234375
"649",SNNPR,South Omo,Gelila,"07","0707","070703",ET07,Gelila,ET070703,ET0707,,108461.9609375
"650",SNNPR,South Omo,Male,"07","0707","070707",ET07,Male,ET070707,ET0707,,135962.25
"651",SNNPR,Gamo Gofa,Ayida,"07","0710","071015",ET07,Ayida,ET071015,ET0710,,53736.59765625
"652",SNNPR,Gamo Gofa,Geze Gofa,"07","0710","071017",ET07,Geze Gofa,ET071017,ET0710,Geza Gofa,108869.4296875
"653",SNNPR,Dawro,Tocha,"07","0717","071701",ET07,Tocha,ET071701,ET0717,,164452.296875
"654",SNNPR,Dawro,Gena Bosa,"07","0717","071704",ET07,Gena Bosa,ET071704,ET0717,,136782.21875
"655",SNNPR,Keffa,Tulo,"07","0709","070906",ET07,Tulo,ET070906,ET0709,Tulo,100902.296875
"656",SNNPR,Keffa,Sayilem,"07","0709","070901",ET07,Sayilem,ET070901,ET0709,,65236.4296875
"657",SNNPR,Keffa,Bita (Big),"07","0709","070910",ET07,Bita (Big),ET070910,ET0709,,119088.1796875
"658",SNNPR,Keffa,Getawa,"07","0709","070903",ET07,Getawa,ET070903,ET0709,,116653.6953125
"659",SNNPR,Sheka,Anderacha,"07","0708","070802",ET07,Anderacha,ET070802,ET0708,,38249.27734375
"660",SNNPR,KT,Hadero Tubito,"07","0703","070305",ET07,Hadero Tubito,ET070305,ET0703,,155805.421875
"661",SNNPR,Hadiya,Dune,"07","0702","070207",ET07,Dune,ET070207,ET0702,,196000.15625
"662",SNNPR,Hadiya,Gembora,"07","0702","070210",ET07,Gembora,ET070210,ET0702,,150070.515625
"663",SNNPR,Selti,Misrak Azenet Berbere,"07","0720","072007",ET07,Misrak Azenet Berbere,ET072007,ET0720,,81182.125
"664",SNNPR,Gurage,Endiguagn,"07","0701","070108",ET07,Endiguagn,ET070108,ET0701,,78264.5625
"665",SNNPR,Hadiya,Limu,"07","0702","070203",ET07,Limu,ET070203,ET0702,,302890.40625
"666",SNNPR,Gurage,Geta,"07","0701","070113",ET07,Geta,ET070113,ET0701,,111435.6953125
"667",SNNPR,Hadiya,Analemmo,"07","0702","070208",ET07,Analemmo,ET070208,ET0702,,114881.28125
"668",SNNPR,Selti,Mierab Azenet Berbere,"07","0720","072004",ET07,Mierab Azenet Berbere,ET072004,ET0720,,95297.6796875
"669",SNNPR,Selti,Sankura,"07","0720","072006",ET07,Sankura,ET072006,ET0720,,134849.09375
"670",SNNPR,KT,Doya Gena,"07","0703","070306",ET07,Doya Gena,ET070306,ET0703,,125912.78125
"671",SNNPR,KT,Daniboya,"07","0703","070307",ET07,Daniboya,ET070307,ET0703,,132091.015625
"672",SNNPR,KT,Kediada Gambela,"07","0703","070303",ET07,Kediada Gambela,ET070303,ET0703,,183959.46875
"673",SNNPR,Selti,Dalocha,"07","0720","072005",ET07,Dalocha,ET072005,ET0720,,144358.0625
"674",SNNPR,Gurage,Gumer,"07","0701","070109",ET07,Gumer,ET070109,ET0701,,127622.1875
"675",SNNPR,Segen Peoples',Alle,"07","0713","071301",ET07,Alle,ET071301,ET0713,Alle SW,92951.953125
"676",SNNPR,Segen Peoples',Derashe,"07","0713","071304",ET07,Derashe,ET071304,ET0713,,136200.90625
"677",SNNPR,Gamo Gofa,Kemba,"07","0710","071012",ET07,Kemba,ET071012,ET0710,Kemba,251500.296875
"678",SNNPR,Gamo Gofa,Bonke,"07","0710","071013",ET07,Bonke,ET071013,ET0710,Bonke,256428.265625
"679",Oromia,Guji,Liben,"04","0414","041407",ET04,Liben,ET041407,ET0414,,170116.125
"680",Oromia,Guji,Goro Dola,"04","0414","041413",ET04,Goro Dola,ET041413,ET0414,Goro Dola,113584.578125
"681",Oromia,Guji,Saba Boru,"04","0414","041412",ET04,Saba Boru,ET041412,ET0414,Saba Boru,121643.2734375
"682",Oromia,Guji,Odo Shakiso,"04","0414","041405",ET04,Odo Shakiso,ET041405,ET0414,,214480.65625
"683",Oromia,Guji,Hambela Wamena,"04","0414","041409",ET04,Hambela Wamena,ET041409,ET0414,,171106.609375
"684",Oromia,Guji,Ana Sora,"04","0414","041411",ET04,Ana Sora,ET041411,ET0414,,151665.875
"685",Oromia,Guji,Bore,"04","0414","041402",ET04,Bore,ET041402,ET0414,,191127.640625
"686",Oromia,West Wellega,Homa,"04","0401","040117",ET04,Homa,ET040117,ET0401,,39975.515625
"687",Oromia,East Wellega,Gida Ayana,"04","0402","040203",ET04,Gida Ayana,ET040203,ET0402,,163051.671875
"688",Oromia,East Wellega,Kiremu,"04","0402","040217",ET04,Kiremu,ET040217,ET0402,,94331.671875
"689",Oromia,West Wellega,Ayira,"04","0401","040107",ET04,Ayira,ET040107,ET0401,,78377.515625
"690",Oromia,West Wellega,Guliso,"04","0401","040119",ET04,Guliso,ET040119,ET0401,,112690.8203125
